task,parcellation,seed,estimator,variant,input_set,target,is_leak_target,contains_subject_info,is_connectome_only,pearson,spearman,r2,n_eval,lift_over_bvdemo,lift_perm_p,residualized_pearson,config_hash,git_commit,balanced_acc
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_SC+bv+demo,age,True,True,False,0.9160883041439524,0.9129885434201692,0.8085658131883331,195.0,-0.0839116958560473,1.0,,4a401b0a,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_SC+bv+demo,age,True,True,False,0.9999999999999856,0.9964103953176142,0.999999999999969,195.0,-1.4210854715202004e-14,1.0,,122fb4f8,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_FC+bv+demo,age,True,True,False,0.9999999999999926,0.9964103953176142,0.9999999999999848,195.0,-7.216449660063518e-15,1.0,,61da4426,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_FC+bv,age,True,True,False,0.547425948013724,0.5545744964409612,0.2686491872580395,195.0,-0.4525740519862757,1.0,,441569df,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,pred_SC+bv,age,True,True,False,0.5930273177208385,0.5903955169089522,0.3325776476347454,195.0,-0.4069726822791613,1.0,,77b67b7f,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_SC+pred_FC,age,True,False,True,0.3771761338804435,0.3819679840571337,0.1174333746018697,195.0,-0.6228238661195562,1.0,,624119e1,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+pred_SC,age,True,False,True,0.4592745877068356,0.4550109332253476,0.1945582957892472,195.0,-0.5407254122931642,1.0,,be4e8fc7,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+pred_SC+bv,age,True,True,False,0.4999603670155764,0.4872472528602535,0.2316291758583202,195.0,-0.5000396329844234,1.0,,924360d5,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC+pred_SC+bv+demo,age,True,True,False,0.8132883406957861,0.8298411883241705,0.6147499331873726,195.0,-0.1867116593042136,1.0,,58c6d9ba,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,obs_SC+pred_FC+bv+demo,age,True,True,False,0.9082387268215656,0.9063283414418888,0.7922148177543865,195.0,-0.0917612731784341,1.0,,7152a42a,f8d84d1,
downstream_br,Glasser,0,bayesian_ridge,bayesian_ridge,everything,age,True,True,False,0.7621888252505881,0.7733143381234351,0.5377086803330362,195.0,-0.2378111747494117,1.0,,bce4f51f,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,bv+demo,CogTotal,False,True,False,0.4004289891504945,0.3802596126465563,0.1576289595100075,192.0,0.0,1.0,0.0157836213829219,7ba445b0,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,obs_FC,CogTotal,False,False,True,0.4629346721344235,0.4334748313758478,0.2017924363184415,192.0,0.062505682983929,0.1704147926036981,0.2340760572108028,fa071e88,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,obs_SC,CogTotal,False,False,True,0.3036673839199146,0.3015724054082624,0.0797938230493485,192.0,-0.0967616052305798,0.985007496251874,0.0286972896706544,ba73ebf3,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,obs_FC+obs_SC,CogTotal,False,False,True,0.474411900148194,0.4495252785867792,0.2111930756708803,192.0,0.0739829109976994,0.0899550224887556,0.2358137881510271,f9f832f8,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,pred_SC,CogTotal,False,False,True,0.4187489506146374,0.3931715242788447,0.1589232486295385,192.0,0.0183199614641429,0.4887556221889055,0.1721404254593989,66841943,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,pred_FC,CogTotal,False,False,True,0.3295750929781601,0.2861010019034934,0.1005053263977858,192.0,-0.0708538961723344,0.9535232383808095,-0.0258753033725711,9c699cd7,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,obs_FC+bv+demo,CogTotal,False,True,False,0.4947749763028748,0.4509741595440728,0.2370840147403827,192.0,0.0943459871523803,0.0309845077461269,0.2462654561250138,04790367,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,obs_SC+bv+demo,CogTotal,False,True,False,0.3740909571135815,0.36519260716205,0.127765221068475,192.0,-0.0263380320369129,0.8755622188905547,0.0201831374933244,e404f327,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,pred_SC+bv+demo,CogTotal,False,True,False,0.4571639814752672,0.433137409128333,0.2068182291429406,192.0,0.0567349923247726,0.0184907546226886,0.1277312358168361,d6ea898e,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,pred_FC+bv+demo,CogTotal,False,True,False,0.4131252475427527,0.3882848362520219,0.1668463383956751,192.0,0.0126962583922581,0.2968515742128935,0.0530857606089393,0c9aa839,f8d84d1,
downstream_br,Glasser,1,bayesian_ridge,bayesian_ridge,pred_FC+bv,CogTotal,False,True,False,0.3428126067045982,0.313486462806066,0.1108224185433217,192.0,-0.0576163824458962,0.929535232383808,-0.007509290340891,e223839f,f8d84d1,
