rep,estimator,direction,seed,mse,r2,pearson,avg_rank,top1_acc,demeaned_pearson
r2t,linear_PLS,r2t->FC,5,0.014947323128581047,-0.12372695654630661,0.8214430809020996,0.6272452333990794,0.02564102564102564,0.052678171545267105
r2t,KR,FC->r2t,5,506735.375,0.5597506761550903,0.8523396849632263,0.7407495069033531,0.035897435897435895,0.10876818746328354
r2t,KR,r2t->FC,5,0.013910200446844101,-0.04631618410348892,0.8340831398963928,0.6147271531886916,0.03076923076923077,0.042765095829963684
r2t_corr,linear_PLS,FC->r2t_corr,5,0.017364250496029854,-23.08876609802246,0.8076121807098389,0.7125575279421433,0.010256410256410256,0.058036189526319504
r2t_corr,linear_PLS,r2t_corr->FC,5,0.01441936381161213,-0.08392507582902908,0.8282614946365356,0.6355029585798817,0.015384615384615385,0.049266669899225235
r2t_corr,KR,FC->r2t_corr,5,0.016777049750089645,-10.815808296203613,0.8145396709442139,0.7404602235371467,0.041025641025641026,0.060872308909893036
r2t_corr,KR,r2t_corr->FC,5,0.013742431066930294,-0.03324424475431442,0.8365739583969116,0.6479684418145957,0.03076923076923077,0.04810357838869095
SC,linear_PLS,FC->SC,6,0.005478620063513517,-0.029622603207826614,0.9134926795959473,0.8564102564102565,0.1076923076923077,0.13351984322071075
SC,linear_PLS,SC->FC,6,0.014145704917609692,-0.06198415905237198,0.8307992219924927,0.6869690992767916,0.041025641025641026,0.076863594353199
SC,KR,FC->SC,6,0.005336208734661341,-0.0012088747462257743,0.9160470962524414,0.8972518080210388,0.17435897435897435,0.135305717587471
SC,KR,SC->FC,6,0.01368528138846159,-0.026465319097042084,0.8366699814796448,0.6959368836291913,0.05128205128205128,0.07201867550611496
r2t,linear_PLS,FC->r2t,6,538445.125,0.4925355911254883,0.8441947102546692,0.7131360946745562,0.020512820512820513,0.10200585424900055
r2t,linear_PLS,r2t->FC,6,0.01524848397821188,-0.14025607705116272,0.8172897100448608,0.5948980933596317,0.020512820512820513,0.03784874826669693
r2t,KR,FC->r2t,6,517335.21875,0.6850530505180359,0.8505557179450989,0.7396449704142012,0.035897435897435895,0.10969702154397964
r2t,KR,r2t->FC,6,0.013942297548055649,-0.04491971433162689,0.8333873152732849,0.6494148586456279,0.02564102564102564,0.05332741513848305
r2t_corr,linear_PLS,FC->r2t_corr,6,0.01734134741127491,-40.96036148071289,0.8071699142456055,0.7115581854043392,0.020512820512820513,0.06075839325785637
r2t_corr,linear_PLS,r2t_corr->FC,6,0.01465633511543274,-0.09570427238941193,0.8246683478355408,0.6043392504930967,0.03076923076923077,0.03338801488280296
r2t_corr,KR,FC->r2t_corr,6,0.016799289733171463,-21.12721824645996,0.81357342004776,0.7237080867850099,0.015384615384615385,0.0565706267952919
r2t_corr,KR,r2t_corr->FC,6,0.013958322815597057,-0.04439643397927284,0.8332486748695374,0.5968178829717292,0.02564102564102564,0.030207140371203423
SC,linear_PLS,FC->SC,7,0.00550629710778594,-0.014118809252977371,0.9122567772865295,0.8674293228139383,0.11794871794871795,0.13357289135456085
SC,linear_PLS,SC->FC,7,0.014533364214003086,-0.04997991770505905,0.82090163230896,0.7385667324128863,0.06666666666666667,0.10091429203748703
