rep,target,variant,seed,pearson,spearman,r2
FC,CogCrystalComp_Unadj,final,4,0.3947923747804624,0.3278887101096443,0.11370457612370855
bv+demo,CogTotalComp_Unadj,template,5,0.4980564479666419,0.4917534438119219,0.20382564339836218
bv+demo,CogTotalComp_Unadj,final,5,0.5234822438486856,0.5111005490143243,0.24010648191610107
SC,CogTotalComp_Unadj,template,5,0.2660384354883978,0.22405986092049907,0.046398681234350425
SC,CogTotalComp_Unadj,final,5,0.2673634115301419,0.22623209537461758,0.048510737503021706
r2t,CogTotalComp_Unadj,template,5,0.20963306217161654,0.24436117126903528,0.027795074461257507
r2t,CogTotalComp_Unadj,final,5,0.20663530958481652,0.23660013837072236,-0.057141419669468174
r2t_corr,CogTotalComp_Unadj,template,5,0.014971708795040777,-0.01070665843125304,-0.01874224504576727
r2t_corr,CogTotalComp_Unadj,final,5,0.019575567055487426,-0.008300187571752856,-0.1258668537884875
SC_r2t,CogTotalComp_Unadj,template,5,0.20963528404695222,0.2443118583415865,0.027796620468175215
SC_r2t,CogTotalComp_Unadj,final,5,0.20663732682374164,0.23658863202098432,-0.05713947388163776
FC,CogTotalComp_Unadj,template,5,0.43072771477742,0.40828309528363,0.1636340095791291
FC,CogTotalComp_Unadj,final,5,0.4315465778038775,0.40990138118607394,0.18171043916286278
bv+demo,CogFluidComp_Unadj,template,5,0.34239129934731494,0.29963792114562543,0.10091014199559134
bv+demo,CogFluidComp_Unadj,final,5,0.35852368485299485,0.31235012680250923,0.12025567635063383
SC,CogFluidComp_Unadj,template,5,0.19726754622234485,0.15682879406258057,0.01571698093526197
SC,CogFluidComp_Unadj,final,5,0.19723064810595867,0.1567753779808883,0.031240287056828686
r2t,CogFluidComp_Unadj,template,5,0.23661465022726832,0.2624364964975243,0.048145565399270174
r2t,CogFluidComp_Unadj,final,5,0.23632030781373786,0.2583283889224541,0.011128254808742466
r2t_corr,CogFluidComp_Unadj,template,5,0.08337198721682286,0.07485811866939457,0.003821717204749553
r2t_corr,CogFluidComp_Unadj,final,5,0.07806648138534553,0.07298855581016575,-0.04503576316934099
SC_r2t,CogFluidComp_Unadj,template,5,0.23661720901242436,0.2624364964975243,0.04814883018395766
SC_r2t,CogFluidComp_Unadj,final,5,0.23632214395032727,0.258559310752539,0.01112641685782223
FC,CogFluidComp_Unadj,template,5,0.39150453984614514,0.34305369055921586,0.08818965619647068
FC,CogFluidComp_Unadj,final,5,0.3891937273910598,0.341353415589658,0.145702356362569
bv+demo,CogCrystalComp_Unadj,template,5,0.46978641847639785,0.44434419238992906,0.1897709943537973
bv+demo,CogCrystalComp_Unadj,final,5,0.4569373015320389,0.43723609657297263,0.1898018732259381
SC,CogCrystalComp_Unadj,template,5,0.24647876558170312,0.22282067756988377,0.042532593694488474
SC,CogCrystalComp_Unadj,final,5,0.255408073997443,0.23261130271666838,0.0346868457966365
