parcellation,seed,pc,explained_var_ratio,FC_to_PC_R2,AUC_MZ,AUC_DZ,AUC_sibling,confound_R2_test
Glasser,6,2,0.01607893593609333,-0.020801186561584473,0.6491477272727273,0.5341346153846154,0.5716500000000001,0.017442822456359863
Glasser,6,3,0.01469962764531374,0.24064695835113525,0.7264204545454546,0.6475961538461539,0.5453,-0.15459227561950684
Glasser,6,4,0.013429736718535423,0.12476575374603271,0.6914772727272728,0.5942307692307692,0.55425,-0.017066121101379395
Glasser,6,5,0.01213973667472601,0.07342571020126343,0.5133522727272728,0.5370192307692309,0.5879500000000001,0.008831679821014404
Glasser,6,6,0.010728845372796059,0.20967453718185425,0.6375,0.48653846153846153,0.50415,0.05389392375946045
Glasser,6,7,0.010111574083566666,0.05868494510650635,0.7446022727272728,0.6697115384615385,0.5943499999999999,0.2697504758834839
Glasser,6,8,0.00922069139778614,0.07860755920410156,0.5732954545454545,0.55,0.55245,0.12864655256271362
Glasser,6,9,0.008760579861700535,-0.030305981636047363,0.5079545454545455,0.6557692307692308,0.51295,-0.0949406623840332
Glasser,6,10,0.008555479347705841,0.02443385124206543,0.6732954545454546,0.5615384615384615,0.5884,-0.06673932075500488
Glasser,7,1,0.03802997246384621,0.5931594371795654,0.7308123249299721,0.6521008403361344,0.4275816993464052,0.8692091703414917
Glasser,7,2,0.01553313061594963,-0.0050885677337646484,0.6050420168067226,0.6584033613445379,0.5317647058823529,-0.0882728099822998
Glasser,7,3,0.014972073957324028,0.2679404616355896,0.711764705882353,0.4840336134453782,0.5530283224400872,-0.04908955097198486
Glasser,7,4,0.01361736562103033,0.15045535564422607,0.669467787114846,0.5483193277310924,0.5073202614379085,0.04156053066253662
Glasser,7,5,0.011592605151236057,0.1363247036933899,0.6084033613445379,0.5609243697478992,0.6022222222222222,0.11107957363128662
Glasser,7,6,0.010703351348638535,0.0627974271774292,0.6669467787114847,0.5088235294117647,0.590152505446623,0.1653047800064087
Glasser,7,7,0.010079557076096535,0.07328134775161743,0.7271708683473389,0.5819327731092436,0.5811328976034859,0.24812859296798706
Glasser,7,8,0.009661233052611351,0.03714573383331299,0.6294117647058823,0.5726890756302522,0.5336383442265795,-0.14929485321044922
Glasser,7,9,0.008982634171843529,0.12008464336395264,0.6179271708683474,0.5226890756302521,0.5366884531590413,0.11358034610748291
Glasser,7,10,0.008742738515138626,0.061555325984954834,0.5770308123249299,0.37142857142857144,0.43551198257080614,-0.02868485450744629
Glasser,8,1,0.03967210277915001,0.5640462040901184,0.8010288065843622,0.6291152263374485,0.4488683127572016,0.854487955570221
Glasser,8,2,0.01531112752854824,0.04059416055679321,0.6386831275720164,0.41820987654320985,0.5530864197530865,0.04719489812850952
Glasser,8,3,0.014585789293050766,0.18270879983901978,0.7403292181069959,0.7463991769547325,0.6135288065843623,0.03615635633468628
Glasser,8,4,0.013462738133966923,0.11065846681594849,0.6294238683127572,0.6774691358024691,0.5860082304526749,-0.03197801113128662
Glasser,8,5,0.011928252875804901,0.11324536800384521,0.5893004115226338,0.49331275720164613,0.5347736625514403,-0.18979370594024658
Glasser,8,6,0.010775577276945114,0.08678328990936279,0.7265432098765433,0.6039094650205761,0.5765946502057613,0.2435407042503357
