task,parcellation,seed,estimator,variant,input_set,target
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",obs_FC,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",obs_FC,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",obs_FC,CogTotal
downstream,Glasser,0,pca_pls,pca_pls,obs_FC,CogFluid
downstream,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",obs_FC,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",obs_FC,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",obs_FC,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",obs_FC,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",obs_FC,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",obs_FC,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",obs_FC,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",obs_FC,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",obs_FC,CogFluid
downstream,Glasser,0,pca_pls,pca_pls,obs_FC,CogCryst
downstream,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC,CogCryst
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",obs_FC,CogCryst
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",obs_FC,CogCryst
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",obs_FC,CogCryst
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",obs_FC,CogCryst
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",obs_FC,CogCryst
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",obs_FC,CogCryst
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",obs_FC,CogCryst
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",obs_FC,CogCryst
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",obs_FC,CogCryst
downstream,Glasser,0,pca_pls,pca_pls,obs_FC,sex
downstream,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC,sex
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",obs_FC,sex
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",obs_FC,sex
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",obs_FC,sex
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",obs_FC,sex
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",obs_FC,sex
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",obs_FC,sex
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",obs_FC,sex
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",obs_FC,sex
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",obs_FC,sex
downstream,Glasser,0,pca_pls,pca_pls,obs_FC,age
downstream,Glasser,0,bayesian_ridge,bayesian_ridge,obs_FC,age
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",obs_FC,age
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",obs_FC,age
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",obs_FC,age
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",obs_FC,age
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",obs_FC,age
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",obs_FC,age
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",obs_FC,age
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",obs_FC,age
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",obs_FC,age
downstream,Glasser,0,pca_pls,pca_pls,obs_SC,CogTotal
downstream,Glasser,0,bayesian_ridge,bayesian_ridge,obs_SC,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",obs_SC,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",obs_SC,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",obs_SC,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",obs_SC,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",obs_SC,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",obs_SC,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",obs_SC,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",obs_SC,CogTotal
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",obs_SC,CogTotal
downstream,Glasser,0,pca_pls,pca_pls,obs_SC,CogFluid
downstream,Glasser,0,bayesian_ridge,bayesian_ridge,obs_SC,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",obs_SC,CogFluid
downstream,Glasser,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",obs_SC,CogFluid
