task,parcellation,seed,estimator,variant,input_set,source,target,is_block,n_train,n_test,n_src_feat,n_tgt_feat,mse,r2,pearson,demeaned_pearson,top1_acc,avg_rank,status,git_commit,config_hash,data_load_mode,hp_gamma_mult,hp_alpha
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=2.0]",bv+demo,bv+demo,SC,False,683,195,26,103740,0.0043825609609484,0.0011742904316633,0.9126752614974976,0.1704770177602768,0.1538461538461538,0.8989349112426035,ok,6b5eb84,994d9758,precomputed,2.0,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=2.0]",bv+demo,bv+demo,SC,False,683,195,26,103740,0.004290712531656,0.0255545061081647,0.9150476455688475,0.1881680190563202,0.1897435897435897,0.9270742932281394,ok,6b5eb84,76c22491,precomputed,2.0,10.0
reconstruction,4S456Parcels,0,pca_pls,pca_pls,bv+demo,bv+demo,FC,False,683,195,26,103740,0.0121515877544879,-0.0223689619451761,0.8199988603591919,0.082928791642189,0.0205128205128205,0.6710848126232741,ok,6b5eb84,60928a03,precomputed,,
reconstruction,4S456Parcels,0,bayesian_ridge,bayesian_ridge,bv+demo,bv+demo,FC,False,683,195,26,103740,0.0119248600676655,-0.003119561355561,0.8234132528305054,0.0914474129676818,0.0051282051282051,0.6659040105193952,ok,6b5eb84,36fbd560,precomputed,,
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=0.5]",bv+demo,bv+demo,FC,False,683,195,26,103740,0.0124674104154109,-0.0481935292482376,0.8152815699577332,0.0784791484475135,0.0307692307692307,0.6570677186061802,ok,6b5eb84,f178d228,precomputed,0.5,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=0.5]",bv+demo,bv+demo,FC,False,683,195,26,103740,0.0120341852307319,-0.0128347259014844,0.821760892868042,0.0891088470816612,0.0205128205128205,0.6867061143984221,ok,6b5eb84,8336b232,precomputed,0.5,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=0.5]",bv+demo,bv+demo,FC,False,683,195,26,103740,0.0119080562144517,-0.0016814274713397,0.8237091898918152,0.0882149264216423,0.0102564102564102,0.6911242603550296,ok,6b5eb84,f0a19f70,precomputed,0.5,10.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=1.0]",bv+demo,bv+demo,FC,False,683,195,26,103740,0.0130220213904976,-0.0928608700633049,0.8070846796035767,0.0677726566791534,0.0256410256410256,0.634792899408284,ok,6b5eb84,ec82ba2d,precomputed,1.0,0.1
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",bv+demo,bv+demo,FC,False,683,195,26,103740,0.0121124982833862,-0.0193833410739898,0.8205717206001282,0.0865976810455322,0.0256410256410256,0.6888362919132149,ok,6b5eb84,8d331bfa,precomputed,1.0,1.0
reconstruction,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",bv+demo,bv+demo,FC,False,683,195,26,103740,0.0119076892733573,-0.0019533904269337,0.8237016797065735,0.0887165069580078,0.0153846153846153,0.694017094017094,ok,6b5eb84,6e034ece,precomputed,1.0,10.0
