task,parcellation,seed,estimator,variant,input_set,target,is_leak_target,contains_bvdemo,pearson,spearman,r2,n_eval,lift_over_bvdemo,lift_perm_p,residualized_pearson,git_commit,config_hash,hp_gamma_mult,hp_alpha,balanced_acc
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",obs_SC+bv+demo,CogTotal,False,True,0.3568142097228493,0.3409851184075193,-1.1253985980022367,194.0,0.1326439029416045,1.0,0.13011451110996,6b5eb84,320651ba,1.0,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",pred_SC+bv+demo,CogTotal,False,True,0.2333366342625976,0.2246119698209423,0.0229843836216228,194.0,0.0091663274813528,0.0509745127436281,0.0314322498849041,6b5eb84,ed89a47e,1.0,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=1.0,gamma_mult=1.0]",pred_FC+bv+demo,CogTotal,False,True,0.2906842113820964,0.2812777749926641,-0.0328291171234618,194.0,0.0665139046008516,0.1459270364817591,0.0563904213495156,6b5eb84,2b454933,1.0,1.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",bv+demo,CogTotal,False,True,0.0881944318399851,0.0928445779567708,-0.943037905525976,194.0,0.0,1.0,0.2388008310631758,6b5eb84,29713e4f,1.0,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",obs_FC,CogTotal,False,False,-0.0096035090055632,-0.070446003296786,-1.325055701142318,194.0,-0.0977979408455483,0.8595702148925537,0.3386712225739206,6b5eb84,b73eff99,1.0,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",obs_SC,CogTotal,False,False,0.4413978309928314,0.454799956118421,-0.7718400914576979,194.0,0.3532033991528463,0.2858570714642678,0.0853724309168016,6b5eb84,19967dbc,1.0,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",obs_FC+obs_SC,CogTotal,False,False,0.1359417373444584,0.0550632654327024,-1.365306213978292,194.0,0.0477473055044733,0.8885557221389305,0.3467488751461027,6b5eb84,ba608d91,1.0,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",pred_SC,CogTotal,False,False,0.1690566523345488,0.1651634982100825,-0.0063681411754026,194.0,0.0808622204945637,0.0004997501249375,0.0654626735341955,6b5eb84,f8558966,1.0,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",pred_FC,CogTotal,False,False,0.2686287191550664,0.2790251793902785,-0.0412424468397998,194.0,0.1804342873150813,0.000999500249875,0.0184989189192164,6b5eb84,26fc8e72,1.0,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",obs_FC+bv+demo,CogTotal,False,True,0.0142894788724814,-0.0486226993123465,-1.2561042491504095,194.0,-0.0739049529675036,0.8145927036481759,0.3318096038498145,6b5eb84,a1e4c972,1.0,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",obs_SC+bv+demo,CogTotal,False,True,0.4351096132182476,0.4285635042372976,-0.7212269416699535,194.0,0.3469151813782625,0.233383308345827,0.1323904687885056,6b5eb84,96cce5bc,1.0,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",pred_SC+bv+demo,CogTotal,False,True,0.1688203660595332,0.129949536529448,-0.0119790066142486,194.0,0.0806259342195481,0.0004997501249375,0.042117492463201,6b5eb84,b183df69,1.0,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=10.0,gamma_mult=1.0]",pred_FC+bv+demo,CogTotal,False,True,0.2441370574001817,0.2430165223621407,0.0292016455936364,194.0,0.1559426255601966,0.0004997501249375,0.0799990812101029,6b5eb84,52801ad1,1.0,10.0,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",bv+demo,CogTotal,False,True,0.2176226154966199,0.2772566329706018,-0.2019119525924861,194.0,0.0,1.0,0.1210333633593895,6b5eb84,6b2a3c2d,2.0,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",obs_FC,CogTotal,False,False,0.3664409810304557,0.3380454852554824,-7.252624099801821,194.0,0.1488183655338357,1.0,0.3381955383722403,6b5eb84,8b1791f9,2.0,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",obs_SC,CogTotal,False,False,0.0876180215396004,0.0716096936918892,-5.789340817525054,194.0,-0.1300045939570194,1.0,0.0660624900877467,6b5eb84,33da2f65,2.0,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",obs_FC+obs_SC,CogTotal,False,False,0.33616954880374,0.2800228631047244,-8.12112311150137,194.0,0.11854693330712,1.0,0.3437471036968711,6b5eb84,b1383a2a,2.0,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",pred_SC,CogTotal,False,False,0.1127317845835722,0.1054421839359639,-0.6892882976892614,194.0,-0.1048908309130477,0.9900049975012494,0.0856768435384978,6b5eb84,30c194e1,2.0,0.1,
downstream,4S456Parcels,0,kernel_ridge,"kernel_ridge[alpha=0.1,gamma_mult=2.0]",pred_FC,CogTotal,False,False,0.1865678463622243,0.1604281987350932,-0.8898079339621348,194.0,-0.0310547691343956,0.9995002498750624,-0.0565157842367443,6b5eb84,79ba7585,2.0,0.1,
