rep,target,seed,pearson_raw,pearson_resid
r2t,CogFluidComp_Unadj,9,0.14690767725876636,0.060706249277907305
r2t_corr,CogFluidComp_Unadj,9,0.08339892546484873,-0.00971649601432362
FC,CogFluidComp_Unadj,9,0.40722678229026105,0.305614347521556
SC_r2t,CogFluidComp_Unadj,9,0.14654840429381574,0.06597273385669786
r2t->synthFC,CogFluidComp_Unadj,9,0.2093968613540463,
bv+demo,CogCrystalComp_Unadj,9,0.3214503154630759,
SC,CogCrystalComp_Unadj,9,0.3114661201277696,0.144971262525403
r2t,CogCrystalComp_Unadj,9,0.2273287573450858,0.04759433369685613
r2t_corr,CogCrystalComp_Unadj,9,0.10556192405903224,0.002135076835014703
FC,CogCrystalComp_Unadj,9,0.5610507576851229,0.42708569488273523
SC_r2t,CogCrystalComp_Unadj,9,0.24841970419274925,0.0716738806503781
r2t->synthFC,CogCrystalComp_Unadj,9,0.17337060140911004,
