seed,K,net_pair,n_obs,n_exp,enrichment
4,500,dorsal attention || ventral attention,13,17.084493964716806,0.7609239130434783
4,500,default mode || ventral attention,12,29.54193748065614,0.40620220010476693
4,500,dorsal attention || somatosensory,11,20.798514391829155,0.5288839285714286
4,500,frontoparietal || frontoparietal,10,7.66016713091922,1.3054545454545454
4,500,frontoparietal || visual,10,18.802228412256266,0.5318518518518519
4,500,somatosensory || somatosensory,7,11.915815536985452,0.5874545454545456
4,500,ventral attention || ventral attention,6,8.008356545961002,0.749217391304348
4,500,frontoparietal || somatosensory,4,19.498607242339833,0.20514285714285713
4,500,default mode || limbic,2,17.982048901268957,0.11122203098106713
4,500,dorsal attention || limbic,1,10.399257195914577,0.09616071428571428
4,500,frontoparietal || ventral attention,1,16.016713091922004,0.06243478260869566
5,100,visual || visual,30,2.214484679665738,13.547169811320755
5,100,dorsal attention || dorsal attention,22,1.745589600742804,12.603191489361702
5,100,dorsal attention || visual,18,4.011142061281337,4.4875
5,100,default mode || dorsal attention,11,6.165273909006499,1.7841867469879518
5,100,dorsal attention || frontoparietal,8,3.3426183844011144,2.393333333333333
5,100,default mode || frontoparietal,3,5.779944289693593,0.5190361445783133
5,100,somatosensory || ventral attention,2,3.986381925100588,0.5017080745341616
5,100,frontoparietal || frontoparietal,2,1.532033426183844,1.3054545454545454
5,100,default mode || visual,1,6.935933147632312,0.14417670682730924
5,100,frontoparietal || somatosensory,1,3.8997214484679668,0.2564285714285714
5,100,default mode || ventral attention,1,5.908387496131229,0.16925091671031953
5,100,dorsal attention || somatosensory,1,4.159702878365831,0.24040178571428572
5,200,visual || visual,43,4.428969359331476,9.708805031446541
5,200,dorsal attention || visual,42,8.022284122562674,5.235416666666667
5,200,dorsal attention || dorsal attention,36,3.491179201485608,10.311702127659576
5,200,default mode || dorsal attention,23,12.330547818012999,1.8652861445783133
5,200,dorsal attention || frontoparietal,17,6.685236768802229,2.5429166666666667
5,200,somatosensory || ventral attention,6,7.972763850201176,0.7525621118012422
5,200,frontoparietal || frontoparietal,6,3.064066852367688,1.9581818181818182
5,200,default mode || frontoparietal,5,11.559888579387186,0.43253012048192774
5,200,default mode || visual,3,13.871866295264624,0.21626506024096384
5,200,dorsal attention || somatosensory,3,8.319405756731662,0.3606026785714286
5,200,frontoparietal || somatosensory,2,7.7994428969359335,0.2564285714285714
5,200,default mode || ventral attention,2,11.816774992262458,0.16925091671031953
5,200,ventral attention || ventral attention,2,3.203342618384401,0.6243478260869565
5,200,dorsal attention || ventral attention,2,6.833797585886723,0.29266304347826083
5,200,default mode || default mode,2,10.532342927886104,0.18989127240669995
5,200,frontoparietal || visual,2,7.520891364902507,0.2659259259259259
5,200,default mode || somatosensory,2,14.385639121015165,0.13902753872633392
5,200,frontoparietal || ventral attention,1,6.406685236768802,0.15608695652173912
5,200,somatosensory || somatosensory,1,4.766326214794181,0.20980519480519483
5,500,visual || visual,99,11.07242339832869,8.9411320754717
5,500,dorsal attention || visual,82,20.055710306406684,4.088611111111112
5,500,dorsal attention || dorsal attention,69,8.72794800371402,7.90563829787234
5,500,default mode || dorsal attention,46,30.826369545032495,1.4922289156626507
5,500,dorsal attention || frontoparietal,35,16.71309192200557,2.0941666666666667
5,500,somatosensory || ventral attention,22,19.93190962550294,1.1037577639751552
5,500,default mode || default mode,20,26.330857319715257,0.7595650896267999
5,500,frontoparietal || frontoparietal,19,7.66016713091922,2.4803636363636365
5,500,default mode || somatosensory,17,35.964097802537914,0.47269363166953526
5,500,default mode || frontoparietal,15,28.899721448467965,0.5190361445783133
5,500,default mode || visual,12,34.67966573816156,0.34602409638554216
5,500,dorsal attention || somatosensory,12,20.798514391829155,0.5769642857142857
5,500,somatosensory || somatosensory,11,11.915815536985452,0.9231428571428573
5,500,default mode || ventral attention,10,29.54193748065614,0.3385018334206391
5,500,dorsal attention || ventral attention,9,17.084493964716806,0.5267934782608695
5,500,frontoparietal || somatosensory,7,19.498607242339833,0.359
5,500,ventral attention || ventral attention,5,8.008356545961002,0.6243478260869566
5,500,frontoparietal || visual,5,18.802228412256266,0.26592592592592595
5,500,frontoparietal || ventral attention,4,16.016713091922004,0.24973913043478263
5,500,default mode || limbic,1,17.982048901268957,0.055611015490533565
6,100,visual || visual,31,2.214484679665738,13.998742138364781
6,100,dorsal attention || visual,28,4.011142061281337,6.980555555555556
6,100,default mode || dorsal attention,9,6.165273909006499,1.459789156626506
6,100,somatosensory || ventral attention,5,3.986381925100588,1.2542701863354038
6,100,dorsal attention || dorsal attention,5,1.745589600742804,2.8643617021276597
6,100,dorsal attention || frontoparietal,4,3.3426183844011144,1.1966666666666665
6,100,default mode || frontoparietal,3,5.779944289693593,0.5190361445783133
6,100,default mode || ventral attention,2,5.908387496131229,0.33850183342063905
6,100,default mode || default mode,2,5.266171463943052,0.3797825448133999
6,100,frontoparietal || frontoparietal,2,1.532033426183844,1.3054545454545454
6,100,dorsal attention || ventral attention,2,3.4168987929433614,0.5853260869565217
