rank,loading,abs_load,region_i,region_j,net_i,net_j,hemi_i,hemi_j
38,-0.052590955048799515,0.052590955048799515,Left_6ma,Left_6d,ventral attention,somatosensory,L,L
39,0.052079614251852036,0.052079614251852036,Left_LO1,Left_V3CD,visual,visual,L,L
40,0.05000106245279312,0.05000106245279312,Right_7PL,Right_PGs,dorsal attention,default mode,R,R
41,0.04991394653916359,0.04991394653916359,Left_IPS1,Left_V3B,dorsal attention,visual,L,L
42,0.04926777631044388,0.04926777631044388,Left_V7,Left_PIT,visual,visual,L,L
43,0.049088358879089355,0.049088358879089355,Right_V7,Right_V3CD,visual,visual,R,R
44,0.04866427928209305,0.04866427928209305,Right_V3B,Right_V4t,visual,visual,R,R
45,0.04861312359571457,0.04861312359571457,Left_55b,Left_IFJp,ventral attention,dorsal attention,L,L
46,0.04837889224290848,0.04837889224290848,Right_IPS1,Right_IP0,dorsal attention,dorsal attention,R,R
47,0.04798554629087448,0.04798554629087448,Right_LIPd,Right_PFm,dorsal attention,default mode,R,R
48,0.047950275242328644,0.047950275242328644,Left_IP1,Left_PGs,frontoparietal,default mode,L,L
49,0.04787229746580124,0.04787229746580124,Right_PGp,Right_V3CD,dorsal attention,visual,R,R
50,0.0470014326274395,0.0470014326274395,Left_V3B,Left_V3CD,visual,visual,L,L
51,-0.04696715995669365,0.04696715995669365,Right_MIP,Right_V6A,dorsal attention,visual,R,R
52,0.04626532271504402,0.04626532271504402,Right_IP1,Right_IP0,frontoparietal,dorsal attention,R,R
53,-0.04578941687941551,0.04578941687941551,Right_6ma,Right_6d,ventral attention,somatosensory,R,R
54,-0.04575609415769577,0.04575609415769577,Left_V3A,Left_IP0,visual,dorsal attention,L,L
55,0.04563562199473381,0.04563562199473381,Right_MIP,Right_IP0,dorsal attention,dorsal attention,R,R
56,0.04555864632129669,0.04555864632129669,Left_IP0,Left_PGs,dorsal attention,default mode,L,L
57,0.04509203881025314,0.04509203881025314,Right_LIPv,Right_PGs,dorsal attention,default mode,R,R
58,0.04507271945476532,0.04507271945476532,Left_PHT,Left_TPOJ2,dorsal attention,dorsal attention,L,L
59,0.04503967612981796,0.04503967612981796,Right_PIT,Right_V6A,visual,visual,R,R
60,-0.04501497000455856,0.04501497000455856,Left_V7,Left_MIP,visual,dorsal attention,L,L
