subject,rel_between_session,rel_within_session_run1
178142,0.38951525,0.31588987
178243,0.50670785,0.2904096
178647,0.546518,0.41390583
178748,0.36189988,0.45511818
178849,0.54783994,0.37291214
178950,0.5042777,0.30310902
179245,0.6793668,0.47000208
179346,0.48807624,0.29524776
180129,0.55805504,0.418673
180230,0.6193922,0.29073018
180432,0.59025204,0.44270092
180533,0.6886997,0.48403284
180735,0.51493824,0.35514736
180836,0.18563709,0.41518518
180937,0.3095318,0.114195205
181131,0.48097378,0.36033234
181232,0.63550496,0.30362323
181636,0.37812996,0.2490709
182032,0.5675768,0.5745365
182436,0.47225463,0.30028808
182739,0.45556056,0.21736804
182840,0.53655696,0.39316592
183034,0.25872856,0.44844875
183337,0.20243913,0.19713296
185038,0.46305662,0.35375753
185139,0.5577397,0.43309912
185341,0.47184473,0.39193624
185442,0.49426976,0.27247143
185846,0.37625393,0.37897113
185947,0.4001199,0.40620348
186040,0.45169845,0.42355606
186141,0.53209454,0.33980542
186444,0.37733442,0.3525597
186545,0.52890825,0.26034215
186848,0.41185242,0.29699388
187143,0.45822877,0.33979377
187345,0.4167494,0.41900682
187547,0.56521094,0.4537038
187850,0.44356927,0.33241668
188145,0.38806778,0.3257227
188347,0.5574425,0.20764269
188448,0.52797514,0.4513367
188549,0.4201085,0.46143854
188751,0.39929056,0.12074048
189349,0.6118518,0.43505195
189450,0.35655874,0.26142922
189652,0.49631593,0.37349153
190031,0.51718336,0.3830882
191033,0.5092771,0.47172585
191235,0.50417435,0.31786326
191336,0.5983818,0.47337776
191437,0.5302714,0.3222831
191841,0.42331716,0.39754084
191942,0.43928006,0.44888496
192035,0.50523627,0.38636228
192136,0.55648786,0.2947922
192237,0.50783443,0.34137976
192439,0.6909942,0.53534126
192540,0.66443574,0.5328389
192641,0.50974023,0.40156648
192843,0.41787705,0.23598514
193239,0.32597786,0.23163831
193845,0.46519324,0.28386092
194140,0.5114077,0.3403528
194443,0.48534605,0.3991465
194645,0.377235,0.35326168
194746,0.47231337,0.11260418
194847,0.49043733,0.4643255
