subject,rel_between_session,rel_within_session_run1
212116,0.40474448,0.23826838
212217,0.5415226,0.36009097
212318,0.47363624,0.35805044
212419,0.2853037,0.37561405
212823,0.5299808,0.40830076
213017,0.42759797,0.22415309
213421,0.44091815,0.30771017
213522,0.55976903,0.45042542
214019,0.45186767,0.24315771
214221,0.39325663,0.459645
214423,0.17020161,0.3193855
214524,0.51576304,0.36975667
214625,0.5755147,0.50498646
214726,0.40199974,0.14923379
217126,0.54535794,0.22929834
217429,0.4715201,0.31122646
219231,0.6214782,0.4634883
220721,0.30391002,0.27446258
221319,0.42553866,0.30892968
223929,0.40124294,0.24317092
224022,0.26941586,0.04288057
227432,0.4668002,0.29473698
227533,0.4098138,0.41053078
228434,0.38101366,0.3391013
231928,0.48173374,0.44769403
233326,0.32416925,0.49864194
236130,0.5734464,0.44207332
237334,0.5927175,0.43645406
238033,0.5583356,0.5824014
239136,0.47994575,0.31795132
239944,0.49156693,0.37672743
245333,0.41626364,0.26523796
246133,0.4415838,0.33194125
248339,0.24893913,0.29496625
249947,0.61821795,0.47057125
250427,0.18499036,0.34049484
250932,0.5169638,0.2640413
251833,0.47850066,0.34048596
255639,0.48729554,0.2920224
255740,0.56089413,0.51749915
256540,0.5023011,0.22136888
257542,0.42353454,0.3092086
257845,0.41290155,0.29688713
257946,0.41358382,0.40916383
263436,0.46263915,0.35738686
268749,0.49090195,0.42715403
268850,0.47478658,0.26239386
270332,0.5515676,0.44420013
274542,0.50583154,0.32599872
275645,0.53939897,0.4138062
280739,0.38033026,0.21224318
280941,0.6454376,0.40612957
281135,0.6600215,0.53616047
283543,0.44664294,0.24415696
284646,0.1443329,0.15132038
285345,0.5409062,0.41007537
285446,0.48859537,0.36308467
286347,0.20568456,0.4387774
286650,0.46980345,0.28205556
287248,0.27450675,0.20400147
289555,0.09166431,0.3810314
290136,0.39467153,0.3189483
293748,0.46856105,0.32094136
295146,0.5139338,0.4274029
297655,0.29306385,0.3138813
298051,0.37207052,0.3250688
298455,0.48183486,0.1776988
299154,0.43446708,0.3636395
299760,0.43668774,0.29704648
300618,0.45091534,0.3483552
300719,0.6255542,0.4414648
303119,0.37086102,0.33120972
303624,0.5635335,0.26990044
304020,0.38583574,0.24892697
304727,0.46084687,0.36359942
305830,0.24565107,0.3333822
307127,0.39500982,0.21556441
308129,0.50503236,0.40098715
308331,0.6141067,0.42553324
309636,0.50152624,0.5493092
310621,0.52160156,0.3006923
311320,0.50927657,0.37872267
314225,0.45046264,0.17415991
316633,0.38232857,0.3497673
316835,0.41946763,0.41201058
317332,0.23049986,0.31076664
318637,0.30227134,0.33860284
320826,0.36696184,0.2250218
321323,0.37272817,0.48473766
322224,0.4026106,0.24833865
325129,0.406794,0.23814082
329440,0.46854764,0.42922682
329844,0.32551557,0.06938606
330324,0.51084507,0.21183681
333330,0.5268867,0.42940742
334635,0.53485084,0.319484
336841,0.42732564,0.3980679
339847,0.4363842,0.26032937
341834,0.5522791,0.3934776
342129,0.12513903,0.34369183
346137,0.43436188,0.24820347
346945,0.5300043,0.32346004
348545,0.32922047,0.2540353
349244,0.5156968,0.24659048
350330,0.43634897,0.25558284
352132,0.50547117,0.08265245
352738,0.48975283,0.46590015
353740,0.36322036,0.15652092
356948,0.5537508,0.3704959
358144,0.5082282,0.46204776
360030,0.47492662,0.26447994
361234,0.58786166,0.39349744
361941,0.3511537,0.2018776
365343,0.47531164,0.3752877
366042,0.36399364,0.186718
366446,0.7092702,0.4993349
368551,0.49828833,0.31547636
368753,0.48216197,0.25681707
371843,0.37838942,0.28200573
376247,0.5464006,0.30259627
377451,0.21698889,0.45967546
378756,0.1587614,0.26533484
378857,0.5370128,0.41207218
379657,0.42878205,0.18780227
380036,0.39692685,0.28862873
381038,0.5442704,0.2611456
381543,0.6338149,0.45698506
382242,0.47390208,0.46502867
385046,0.39974135,0.32097685
385450,0.5448139,0.37892243
386250,0.4819258,0.15531619
387959,0.302498,0.37748015
389357,0.5649277,0.3629513
390645,0.48574576,0.060558487
391748,0.51237625,0.35239536
392447,0.4028244,0.12865211
392750,0.6332296,0.37781137
393247,0.5190962,0.19538663
393550,0.48482233,0.38152772
394956,0.6086735,0.43871385
395251,0.5002814,0.2268003
395756,0.6011134,0.4722435
395958,0.34964845,0.20528644
397154,0.34414175,0.42272407
397760,0.4407929,0.25701067
397861,0.49414006,0.32453522
401422,0.28171596,0.308909
406432,0.30289236,0.3176392
406836,0.51678735,0.35786346
412528,0.49940377,0.30185413
413934,0.5356865,0.32614553
414229,0.670468,0.35382172
415837,0.5211531,0.28602523
419239,0.48642984,0.34952363
421226,0.5715521,0.36962977
422632,0.29255578,0.27801356
424939,0.43569326,0.3796154
429040,0.53956026,0.5621252
432332,0.45612377,0.14476809
433839,0.4582679,0.24887918
436239,0.51004696,0.487414
436845,0.4964032,0.39311326
441939,0.32044047,0.33326793
445543,0.5585462,0.40871602
448347,0.27396238,0.2631618
449753,0.6074529,0.35894084
453441,0.4871271,0.3412405
453542,0.39174876,0.21639758
454140,0.3897777,0.2929935
456346,0.47953942,0.293503
459453,0.5019222,0.4505055
461743,0.27642962,0.35651812
463040,0.5322184,0.44044727
465852,0.5650995,0.36501217
467351,0.45805797,0.2535521
